STATION	LONGITUDE	LATITUDE	NOISE(NM/S)
FR.GOTF	0.739	49.017	443.358
Y8.RO23A	23.727	45.866	103.298
NL.G141	6.771	53.359	1994.063
HU.MPLH	17.535	47.171	122.603
NL.G393	6.724	53.225	1660.183
IV.ESLN	14.974	37.693	191.795
HE.NIF	27.810	63.390	370.091
NL.G164	6.531	53.339	1831.648
8C.CI18	6.770	45.900	253.773
Z6.A031A	13.498	48.427	162.215
FR.MLYF	5.768	43.988	374.898
Z6.HU22A	19.131	46.328	188.085
NL.G671	6.823	53.321	1884.704
NO.JMIC	-8.506	70.987	390.516
CH.SLE	8.492	47.764	245.381
NL.N011	6.473	53.119	1679.228
Y8.PL17A	20.301	49.601	162.744
KO.SHUT	30.551	38.553	112.869
NL.SPY1	6.784	53.410	4363.564
NL.G422	6.989	53.222	1823.802
NL.G581	6.907	53.110	2089.858
RD.ORIF	5.880	44.918	236.115
NL.L2087	6.919	52.669	4216.306
NL.G294	6.787	53.281	1631.926
FR.MIGAL	6.033	43.080	264.751
CQ.OSC1	31.277	33.500	79.784
NO.NC403	11.668	61.054	224.152
NL.G063	6.871	53.411	3281.485
XP.FR01A	4.072	46.956	340.237
FR.OGJA	6.710	44.910	197.141
NL.FR052	5.869	53.070	2049.872
NL.G632	6.911	53.331	1888.441
Z6.A035B	12.642	47.160	150.932
KO.RKY	27.178	40.687	93.298
HT.CHOS	26.051	38.387	198.844
IV.MRVN	16.196	41.061	155.522
IV.VCNE	14.434	40.827	176.701
CH.GRYON	7.111	46.251	297.683
HL.JAN	20.849	39.656	188.420
FR.WALT	7.277	47.966	288.338
OE.LESA	12.677	47.424	166.754
NO.ARA3	25.502	69.535	390.040
BW.MSBB	11.973	50.031	159.431
GX.CAMPI	15.274	40.707	113.965
FR.BARI	3.312	49.566	542.396
NL.G273	6.628	53.283	1927.012
FO.OPS	7.883	48.921	324.680
NL.G82B	6.724	53.225	612.937
NS.MOR8	14.731	66.283	214.087
HL.NEO	23.222	39.306	118.561
NL.G084	6.644	53.395	1807.061
NL.WYN2	5.458	53.200	501.869
FR.OGDF	5.069	44.557	457.879
IV.EMFS	14.998	37.720	234.650
HL.SMG	26.838	37.704	134.741
IV.PIGN	14.180	41.200	104.098
NL.G374	7.035	53.274	1654.462
RO.ONER	26.394	46.335	19.125
IV.CRE	11.952	43.619	138.328
NL.FR011	5.887	53.142	2044.749
IV.CMIS	14.089	40.778	294.788
RO.PRAR	26.228	47.362	152.788
KO.ELL	29.909	36.748	139.004
NL.G183	6.722	53.331	2078.386
PM.PFVI	-8.827	37.133	209.703
FR.ARTF	5.807	43.588	340.242
CA.ICJA	2.119	41.384	328.572
IV.SORR	14.336	40.583	96.956
CH.SALEV	6.097	46.060	424.494
Y8.PL09A	21.405	49.642	180.850
NL.ZH044	4.363	51.842	2026.996
NL.GK013	6.247	53.291	1773.940
NL.G461	6.850	53.198	1768.342
IV.GUMA	13.335	43.063	169.130
GR.CLZ	10.374	51.843	167.156
RO.ODSR	25.292	46.297	158.202
RO.MDVR	21.713	44.782	103.019
IV.SNAL	15.209	40.925	298.673
NL.N033	6.405	53.111	1548.498
CH.COLLE	6.121	46.292	390.056
IX.AND3	15.333	40.930	321.421
QE.HNB4	4.951	60.607	500.812
NL.G653	6.954	53.169	1702.966
XE.MORMA	15.972	39.870	90.068
Y5.BH14A	17.657	44.514	108.775
IV.MBFT	12.953	37.946	101.366
Z6.AL04A	19.562	41.007	934.067
GR.KUDEN	9.196	53.969	226.291
IV.EPIT	15.057	37.811	186.055
IV.CRJA	13.004	37.802	298.525
FR.ESCA	7.374	43.831	234.710
NL.ROLD	6.085	50.869	321.652
KO.GEML	29.212	40.465	95.591
NL.G212	6.594	53.313	1790.417
IV.CAAM	14.142	40.820	270.870
GU.STV	7.326	44.245	182.422
NL.L1076	7.095	52.920	1373.349
Y8.RO33A	26.659	47.278	120.411
IV.PTCC	13.354	46.407	148.666
CH.EMBD	7.832	46.217	232.651
NL.G041	6.675	53.415	1968.170
KO.GEDZ	29.410	39.044	193.113
IV.ISPIC	14.903	36.780	134.441
KO.KULA	28.661	38.514	90.053
NI.PURA	12.742	46.426	203.339
HA.HAVD	20.385	38.204	639.402
NL.SL011	4.868	52.855	2183.356
NI.VINO	13.275	46.254	178.741
SX.WERN	12.376	50.287	178.460
FR.CIEL	7.364	48.833	304.582
FR.PAND	1.546	42.524	199.733
CA.CGAR	1.914	41.293	290.045
RO.PLOR	26.650	45.851	55.087
HU.BEHE	16.776	46.471	260.913
FR.OG35	5.571	46.045	372.836
NL.L4111	6.630	53.031	38037.023
NL.G251	6.943	53.308	1923.094
GR.KHUS	11.055	54.196	252.512
Y8.RO12A	25.600	44.583	254.229
FR.CRAS	0.729	43.721	349.716
IV.MOMA	12.570	42.804	115.646
GB.JSA	-2.172	49.188	589.910
NL.G544	6.758	53.124	1912.470
NO.ARC1	25.508	69.541	421.307
IV.SARZ	8.914	44.867	357.905
1Y.GR22	22.826	39.089	99.597
RO.ODBI	27.056	45.763	255.914
SX.NEUB	11.772	51.194	185.202
OE.RETA	10.762	47.487	228.178
IV.CESX	12.587	42.608	122.549
NL.G443	6.684	53.204	1815.715
IV.VARE	8.770	45.868	193.734
FR.ISO	7.050	44.184	159.219
KO.LFK	33.533	35.283	185.685
NL.T082	6.996	52.389	1813.267
NL.GK031	6.306	53.283	2028.564
EI.IDGL	-7.510	55.073	1421.388
GE.RUE	13.780	52.476	191.393
OE.MOTA	11.104	47.345	174.850
NO.NBO04	10.752	61.012	228.306
NL.FR033	5.713	52.981	1938.064
GB.FOEL	-3.200	52.889	845.666
Z6.CP14A	20.467	48.636	99.106
KO.GULA	34.236	38.344	271.276
IV.CMSN	14.182	40.838	289.700
NL.G344	6.765	53.253	1772.775
IX.SSB3	15.229	41.078	215.637
NL.HGN	5.932	50.764	268.350
NL.FR021	5.930	52.856	1834.004
EE.VSU	26.735	58.462	176.215
IV.NARO	12.581	43.611	118.125
NL.GK023	6.293	53.301	1857.826
NL.ZH074	4.295	52.104	1873.942
IX.PGN3	15.797	40.572	122.914
IV.ATPC	12.457	43.481	138.872
EE.MTSE	23.815	58.714	559.894
NL.G451	6.764	53.200	1763.820
NL.PPB4	4.670	52.653	4130.581
KO.CANT	33.619	40.606	133.831
IV.SACS	11.910	42.849	150.817
HT.EVGI	20.656	38.621	617.015
1Y.GR30	22.577	37.522	137.426
FR.GIZF	0.198	47.408	388.234
FR.ZELS	7.632	48.302	378.639
GR.GRC4	11.525	49.086	166.285
FR.RIVEL	5.922	46.759	378.666
NL.G602	7.075	53.298	1660.118
NL.T034	6.792	52.430	1682.880
NO.ARB3	25.511	69.532	396.756
RO.AMRR	27.335	44.610	273.962
NL.VBG1	6.669	52.544	4252.834
NL.G81B	6.678	53.310	718.617
RO.ICOR	27.801	44.117	134.506
NL.G243	6.856	53.290	1896.422
NL.OPLO	5.812	51.589	717.163
RD.MFF	-0.141	46.601	444.767
NS.NSS	11.966	64.530	220.280
RD.FLAF	6.255	43.383	243.794
Y8.PL14A	21.070	49.879	134.459
Z6.HU04B	19.439	46.814	108.031
DK.GOET	9.225	57.035	479.559
NL.G412	6.892	53.223	1788.622
GE.ILTH	-6.336	54.028	1444.159
MD.SORM	28.351	48.135	96.323
GB.KESW	-3.105	54.589	1204.319
HE.MEF	24.396	60.217	195.705
NL.FR062	6.024	53.001	1786.556
XP.FR02A	3.498	46.910	361.400
HU.MORH	18.644	46.215	106.025
KO.CTKS	28.507	41.237	6.398
NL.G053	6.771	53.418	1760.483
BQ.KOE	7.731	50.424	263.363
BW.MROB	12.179	50.083	148.748
NL.ENV4	6.634	52.894	4282.951
FR.CLAF	3.090	43.135	317.325
NL.HRKB	6.168	51.188	419.071
GU.BHB	7.263	44.836	249.877
IV.EMSG	14.950	37.821	255.202
NL.G641	7.038	53.221	2184.976
Z6.HU21A	19.729	46.333	257.589
RO.MFTR	28.422	44.178	147.916
Z6.A028B	13.950	47.095	145.199
Z6.A032A	13.306	48.123	346.509
7C.SPAOL	15.071	37.549	1129.356
NL.DR024	6.508	52.703	1522.313
NL.N021	6.453	53.072	1781.811
NL.G473	6.941	53.196	1768.565
HL.ITM	21.925	37.179	204.949
SL.KNDS	14.381	45.528	134.241
NL.G684	6.635	53.235	1848.957
IV.CAVE	11.003	44.866	282.316
NL.G032	6.598	53.416	1884.057
KO.AFSR	33.071	39.447	102.414
NL.G191	6.817	53.338	2365.032
Z6.A367A	11.923	48.307	255.284
Y8.BG12A	26.780	42.118	157.185
FR.XAFF	6.620	48.407	294.058
Z6.CP17A	20.511	48.219	105.232
RO.IASR	27.575	47.178	96.251
HT.CMBO	25.406	36.471	779.466
HA.VILL	23.312	38.164	111.472
NL.L2072	6.972	52.757	3066.871
NL.G261	6.546	53.282	1966.181
NO.NC601	11.542	60.775	231.408
BW.MKON	12.234	50.019	155.516
FR.SRNF	2.204	47.381	503.809
FR.VALC	2.040	42.388	210.090
NL.G574	7.022	53.135	1667.141
EB.EROQ	0.407	40.822	190.358
IV.MAGA	10.629	45.775	166.315
GB.DYA	-3.931	50.435	802.119
NL.VLW2	7.097	52.968	3476.166
Y5.BH09A	16.616	44.786	169.087
TH.TIER	11.167	50.455	7.966
1Y.GR12	22.542	40.471	194.353
HC.CHAN	24.043	35.519	337.535
IX.COL3	15.330	40.687	119.401
NL.G071	6.546	53.395	1761.757
BW.ZUGS	10.977	47.417	195.588
IV.APRC	15.543	41.757	131.145
NL.NIW1	6.043	53.355	4720.187
NO.NAO00	10.832	60.824	239.481
KO.KONT	32.356	37.957	104.036
BW.MGS05	11.517	48.000	294.877
Z6.CP09A	20.282	49.164	130.865
OX.BOO	13.098	46.319	151.133
CL.ZIRI	21.948	38.305	160.381
UP.SJUU	21.605	65.508	245.640
TH.VITZ	10.092	50.888	189.766
NS.LADE	10.446	63.455	241.043
DK.COP	12.432	55.685	369.118
NL.G593	6.988	53.116	1757.201
BW.WETR	12.876	49.145	9.833
HT.HORT	23.100	40.598	87.547
NL.GK042	6.326	53.246	1760.556
NO.NC304	11.221	60.888	230.203
RD.MTLF	2.217	43.341	288.512
RO.BANR	21.137	45.383	2003.058
NO.ARD2	25.531	69.545	411.824
NL.G494	6.731	53.176	1784.108
HP.LTK	22.967	38.023	122.858
Z6.AL07A	20.679	40.900	160.881
BW.KW1	12.597	48.122	1053.175
CH.JAUN	7.291	46.634	391.767
Y5.BH17A	18.551	44.384	141.110
NO.NC203	10.832	61.244	241.219
NL.G663	6.585	53.179	1865.310
FR.MANO	5.923	48.828	573.520
FR.AGO	3.132	46.050	339.201
NS.STAV	5.704	58.934	376.439
SL.GBRS	14.810	45.531	156.601
Z6.A143A	11.003	47.684	322.758
RO.RMGR	22.692	44.663	153.209
FR.OGAG	6.540	44.788	203.592
TH.CHRS	10.819	51.610	147.000
NS.LEIR	13.115	66.112	193.187
RO.JOSR	25.515	46.706	44.417
NL.G381	6.548	53.201	1980.663
NL.G222	6.678	53.310	1867.738
IV.OFFI	13.686	42.935	991.040
IV.ESML	14.879	37.618	190.670
NL.ENM2	6.482	53.406	4620.054
FR.OGCB	5.097	44.850	312.130
XP.FR12A	1.243	45.745	370.893
KO.TOKT	36.544	40.317	98.562
KO.KMRS	36.900	37.509	123.340
FR.PYHE	-1.750	43.377	213.312
SL.CADS	13.737	46.228	84.561
NL.ENV3	6.634	52.894	4151.819
KO.GELI	26.474	40.398	105.510
KO.BLVD	31.095	38.795	110.574
BW.UH3	11.639	48.030	150.665
GE.GHAJ	35.566	31.303	209.044
NL.G512	6.885	53.173	1868.855
GE.APE	25.523	37.073	255.295
NL.DR023	6.508	52.703	1790.675
HL.VLY	23.794	37.852	107.589
FR.MLZA	-0.127	43.828	342.889
