STATION	LONGITUDE	LATITUDE	NOISE(NM/S)
IV.SLCN	15.633	40.390	24.768
NS.BLS5	6.457	59.423	43.265
IV.VCRE	14.431	40.819	470.870
HP.AXS	21.376	38.196	306.533
NL.G643	7.038	53.221	2392.087
HT.LKD2	20.658	38.789	91.027
NL.N023	6.453	53.072	2035.130
EI.IGLA	-9.375	53.419	48.918
CH.FUORN	10.264	46.620	9.666
HL.KTHA	23.062	36.257	56.746
HT.SIGR	25.855	39.211	42.449
IV.ECHR	14.913	37.686	62.274
RF.GEPF	13.139	46.275	1.634
FR.MVIF	7.153	43.896	41.328
NL.G051	6.771	53.418	2301.388
GR.GEC2	13.701	48.844	9.262
Y8.RO32A	23.825	47.221	268.657
SI.ABSI	11.320	46.728	42.028
NL.G094	6.725	53.388	2129.249
KO.DIKM	35.258	41.650	109.585
NL.G263	6.546	53.282	2372.302
XP.FR21A	4.452	44.892	109.377
KQ.QBN	9.897	53.723	21.779
IV.MONC	7.927	45.074	109.939
BQ.HOBG	7.333	50.983	272.784
FR.SOMF	0.053	48.299	17.264
GR.GRA4	11.435	49.564	12.799
1Y.GR10	21.594	40.483	133.194
CH.MUO	8.637	46.968	23.231
NL.T014	6.740	52.464	2653.117
NL.G622	6.842	53.387	2161.179
TH.RANIS	11.564	50.662	322.765
NL.G471	6.941	53.196	2277.536
PL.OJC	19.798	50.219	22.134
MN.BNI	6.678	45.052	15.353
Z6.HU02A	20.525	48.122	99.696
IV.MRGE	7.061	45.770	23.341
FR.IRAF	-1.037	43.034	31.379
Y8.PL08A	22.677	50.376	689.958
SL.MOZS	14.443	46.294	11.707
NL.G193	6.817	53.338	2274.373
OX.CLUD	12.881	46.457	10.535
GU.RSP	7.265	45.148	10.944
NL.G364	6.924	53.265	2358.412
IV.AGLI	9.173	41.127	97.471
HT.PAIG	23.677	39.936	89.162
GE.THERA	25.475	36.367	1401.465
IV.LPEL	14.183	42.047	53.831
HE.KEV	27.004	69.757	7.653
Z6.HU23A	20.250	47.639	819.968
NL.G661	6.585	53.179	2512.984
GE.MTE	-7.544	40.400	57.942
Z6.A030A	13.561	47.828	14.059
NL.G174	6.636	53.336	2839.829
FR.OGCY	6.712	45.472	11.245
OE.OBKA	14.549	46.509	14.488
IV.ESVO	14.947	37.773	715.015
NL.ZLV2	6.753	53.092	6343.339
SL.DOBS	15.470	46.150	17.675
