STATION	LONGITUDE	LATITUDE	NOISE(NM/S)
NL.G661	6.585	53.179	1098.188
GE.MTE	-7.544	40.400	12.222
Z6.A030A	13.561	47.828	33.855
NL.G174	6.636	53.336	209.960
FR.OGCY	6.712	45.472	14.415
OE.OBKA	14.549	46.509	9.127
IV.ESVO	14.947	37.773	878.130
NL.ZLV2	6.753	53.092	204.433
SL.DOBS	15.470	46.150	19.030
GR.ASSE	10.674	52.128	14.329
NL.J01	5.055	52.765	2811.183
NL.G383	6.548	53.201	1121.748
NL.FR042	6.119	52.876	412.939
GR.BSEG	10.316	53.936	35.257
IV.MDI	9.716	45.770	19.929
NL.NIW3	6.043	53.355	285.132
NO.NAO02	10.897	60.806	7.109
NL.G073	6.546	53.395	237.707
FR.COLF	3.694	45.500	7.265
XE.ZIDIL	16.260	39.782	115.597
NL.G284	6.729	53.272	229.903
IX.SRN3	15.458	40.486	18.445
NL.G432	7.079	53.232	221.363
NL.G591	6.988	53.116	939.398
CH.GRIMS	8.319	46.578	19.901
KO.ENEZ	26.153	40.736	77.315
CL.ROD3	21.892	38.308	44.218
IV.PLMA	9.854	44.050	27.990
Y8.PL16A	21.355	50.592	29.561
HA.LOUT	22.974	37.988	76.364
GR.AHRW	7.076	50.541	31.928
NL.G184	6.722	53.331	189.702
HE.RUF	28.950	61.425	19.223
NL.DBN	5.177	52.102	2987.665
IV.MILZ	15.231	38.271	41.191
HL.PRK	26.265	39.246	55.616
XP.FR30A	1.667	44.056	61.287
CH.FIESA	8.111	46.435	8.072
GE.GVD	24.087	34.839	63.793
SI.BOSI	11.319	46.495	956.699
NL.G373	7.035	53.274	208.871
KO.GULT	30.515	40.432	66.396
IV.NOCI	17.064	40.789	51.454
IV.TREM	15.510	42.123	228.191
Y8.PL26A	19.174	50.190	2104.696
FR.PLDF	3.623	45.965	9.548
1Y.MK01A	21.851	42.279	6.160
NL.GK014	6.247	53.291	136.180
NL.ZH043	4.363	51.842	508.044
NL.G691	6.644	53.213	982.195
HL.ELAT	22.791	38.628	43.903
UP.DEL	13.870	56.470	8.720
KO.GADA	25.899	40.191	37.357
NL.G561	6.931	53.148	2159.195
FR.GRN	5.744	45.241	22.343
SX.FROHN	12.989	50.596	17.417
CH.CHASS	7.121	47.161	13.150
FR.RONF	6.645	47.710	20.116
OE.CSNA	15.859	47.928	5.059
1Y.GR07	22.021	40.784	23.384
KO.LOD	32.763	39.888	55.168
GE.STU	9.195	48.772	93.812
ST.DOSS	11.188	45.881	18.013
Y8.PL19A	20.944	50.283	659.811
GR.BUG	7.271	51.441	59.344
IV.EPMN	15.177	37.820	55.870
NL.VNDM2	6.839	53.115	469.813
NL.G083	6.644	53.395	306.074
FR.SALSA	6.689	43.881	8.546
IV.CRMI	10.980	43.796	10.332
KO.MRMT	27.583	40.609	30.568
GR.HLGA2	7.886	54.187	140.601
IV.CAFE	15.237	41.028	27.794
NL.G274	6.628	53.283	174.841
OT.TAR1	17.285	40.526	60.718
FR.VERF	2.484	45.750	5.695
NL.L2067	6.823	52.810	203.268
NS.ROEST	12.104	67.520	20.465
TH.LEIB1	11.198	50.576	6.753
HU.BSZH	20.267	47.300	969.933
OE.DAVA	9.880	47.287	10.852
BQ.NAST	7.861	50.195	73.964
BW.ALFT	11.280	48.142	119.465
RO.CFR	28.136	45.178	11.329
SX.WIMM	11.505	51.521	15.095
FR.GUEF	-2.634	47.887	11.316
CH.MTI02	7.165	47.379	39.578
IV.MGR	15.554	40.138	8.474
NL.G064	6.871	53.411	755.065
NO.NC404	11.646	61.098	0.085
HL.PLG	23.444	40.373	13.435
GB.CWF	-1.308	52.739	31.356
NL.G293	6.787	53.281	242.920
UP.BREU	18.578	63.891	3.828
NL.G163	6.531	53.339	335.387
BW.LAEN	12.186	50.183	12.492
KO.SNOP	35.207	42.020	51.472
NL.G394	6.724	53.225	125.503
GB.PGB1	-4.484	55.812	44.734
GU.IMI	7.893	43.910	14.530
NO.ARD9	25.486	69.545	7.984
NL.G481	7.029	53.197	536.478
Y8.PL07A	22.404	49.943	411.227
FR.OGS3	5.806	45.070	12.833
CH.FUSIO	8.663	46.455	8.222
FN.SGF	26.526	67.442	5.127
NL.ZH061	4.220	51.978	1900.253
FR.WLS	7.354	48.413	9.273
NL.G444	6.684	53.204	304.945
MN.AQU	13.405	42.354	59.620
CR.STON	17.700	42.872	14.695
NL.G351	6.862	53.255	669.882
Z6.A266A	18.265	46.526	353.461
SL.CEY	14.422	45.738	12.255
